start,kwh
2024-10-27T00:00:00Z,26
2024-10-27T04:00:00Z,92
2024-10-27T08:00:00Z,96
2024-10-27T12:00:00Z,61
2024-10-27T16:00:00Z,57
2024-10-27T20:00:00Z,73
2024-10-28T00:00:00Z,79
2024-10-28T04:00:00Z,65
2024-10-28T08:00:00Z,44
2024-10-28T12:00:00Z,59
2024-10-28T16:00:00Z,65
2024-10-28T20:00:00Z,49
2024-10-29T00:00:00Z,92
2024-10-29T04:00:00Z,74
2024-10-29T08:00:00Z,87
2024-10-29T12:00:00Z,29
2024-10-29T16:00:00Z,56
2024-10-29T20:00:00Z,73
2024-10-30T00:00:00Z,71
2024-10-30T04:00:00Z,7
2024-10-30T08:00:00Z,62
2024-10-30T12:00:00Z,71
2024-10-30T16:00:00Z,61
2024-10-30T20:00:00Z,78
2024-10-31T00:00:00Z,88
2024-10-31T04:00:00Z,69
2024-10-31T08:00:00Z,46
2024-10-31T12:00:00Z,56
2024-10-31T16:00:00Z,82
2024-10-31T20:00:00Z,57
2024-11-01T00:00:00Z,69
2024-11-01T04:00:00Z,56
2024-11-01T08:00:00Z,19
2024-11-01T12:00:00Z,54
2024-11-01T16:00:00Z,57
2024-11-01T20:00:00Z,55
2024-11-02T00:00:00Z,74
2024-11-02T04:00:00Z,42
2024-11-02T08:00:00Z,37
2024-11-02T12:00:00Z,57
2024-11-02T16:00:00Z,72
2024-11-02T20:00:00Z,93
2024-11-03T00:00:00Z,47
2024-11-03T04:00:00Z,5
2024-11-03T08:00:00Z,68
2024-11-03T12:00:00Z,70
2024-11-03T16:00:00Z,54
2024-11-03T20:00:00Z,108
2024-11-04T00:00:00Z,54
2024-11-04T04:00:00Z,51
2024-11-04T08:00:00Z,71
2024-11-04T12:00:00Z,66
2024-11-04T16:00:00Z,34
2024-11-04T20:00:00Z,81
2024-11-05T00:00:00Z,42
2024-11-05T04:00:00Z,60
2024-11-05T08:00:00Z,99
2024-11-05T12:00:00Z,44
2024-11-05T16:00:00Z,68
2024-11-05T20:00:00Z,98
2024-11-06T00:00:00Z,80
2024-11-06T04:00:00Z,106
2024-11-06T08:00:00Z,61
2024-11-06T12:00:00Z,55
2024-11-06T16:00:00Z,65
2024-11-06T20:00:00Z,46
2024-11-07T00:00:00Z,51
2024-11-07T04:00:00Z,23
2024-11-07T08:00:00Z,85
2024-11-07T12:00:00Z,79
2024-11-07T16:00:00Z,27
2024-11-07T20:00:00Z,56
2024-11-08T00:00:00Z,75
2024-11-08T04:00:00Z,55
2024-11-08T08:00:00Z,89
2024-11-08T12:00:00Z,54
2024-11-08T16:00:00Z,73
2024-11-08T20:00:00Z,69
2024-11-09T00:00:00Z,88
2024-11-09T04:00:00Z,81
2024-11-09T08:00:00Z,36
2024-11-09T12:00:00Z,68
2024-11-09T16:00:00Z,56
2024-11-09T20:00:00Z,39
2024-11-10T00:00:00Z,84
2024-11-10T04:00:00Z,53
2024-11-10T08:00:00Z,74
2024-11-10T12:00:00Z,95
2024-11-10T16:00:00Z,77
2024-11-10T20:00:00Z,97
2024-11-11T00:00:00Z,73
2024-11-11T04:00:00Z,19
2024-11-11T08:00:00Z,31
2024-11-11T12:00:00Z,29
2024-11-11T16:00:00Z,108
2024-11-11T20:00:00Z,62
2024-11-12T00:00:00Z,91
2024-11-12T04:00:00Z,59
2024-11-12T08:00:00Z,26
2024-11-12T12:00:00Z,47
2024-11-12T16:00:00Z,74
2024-11-12T20:00:00Z,109
2024-11-13T00:00:00Z,55
2024-11-13T04:00:00Z,65
2024-11-13T08:00:00Z,49
2024-11-13T12:00:00Z,71
2024-11-13T16:00:00Z,53
2024-11-13T20:00:00Z,71
2024-11-14T00:00:00Z,81
2024-11-14T04:00:00Z,70
2024-11-14T08:00:00Z,31
2024-11-14T12:00:00Z,64
2024-11-14T16:00:00Z,69
2024-11-14T20:00:00Z,68
2024-11-15T00:00:00Z,52
2024-11-15T04:00:00Z,76
2024-11-15T08:00:00Z,50
2024-11-15T12:00:00Z,68
2024-11-15T16:00:00Z,51
2024-11-15T20:00:00Z,60
2024-11-16T00:00:00Z,65
2024-11-16T04:00:00Z,72
2024-11-16T08:00:00Z,73
2024-11-16T12:00:00Z,66
2024-11-16T16:00:00Z,49
2024-11-16T20:00:00Z,43
2024-11-17T00:00:00Z,44
2024-11-17T04:00:00Z,63
2024-11-17T08:00:00Z,69
2024-11-17T12:00:00Z,71
2024-11-17T16:00:00Z,48
2024-11-17T20:00:00Z,53
2024-11-18T00:00:00Z,78
2024-11-18T04:00:00Z,59
2024-11-18T08:00:00Z,33
2024-11-18T12:00:00Z,34
2024-11-18T16:00:00Z,84
2024-11-18T20:00:00Z,91
2024-11-19T00:00:00Z,39
2024-11-19T04:00:00Z,82
2024-11-19T08:00:00Z,40
2024-11-19T12:00:00Z,49
2024-11-19T16:00:00Z,33
2024-11-19T20:00:00Z,84
2024-11-20T00:00:00Z,49
2024-11-20T04:00:00Z,54
2024-11-20T08:00:00Z,86
2024-11-20T12:00:00Z,43
2024-11-20T16:00:00Z,79
2024-11-20T20:00:00Z,68
2024-11-21T00:00:00Z,48
2024-11-21T04:00:00Z,50
2024-11-21T08:00:00Z,75
2024-11-21T12:00:00Z,47
2024-11-21T16:00:00Z,48
2024-11-21T20:00:00Z,23
2024-11-22T00:00:00Z,18
2024-11-22T04:00:00Z,69
2024-11-22T08:00:00Z,69
2024-11-22T12:00:00Z,34
2024-11-22T16:00:00Z,53
2024-11-22T20:00:00Z,67
2024-11-23T00:00:00Z,95
2024-11-23T04:00:00Z,49
2024-11-23T08:00:00Z,46
2024-11-23T12:00:00Z,71
2024-11-23T16:00:00Z,80
2024-11-23T20:00:00Z,67
2024-11-24T00:00:00Z,79
2024-11-24T04:00:00Z,78
2024-11-24T08:00:00Z,61
2024-11-24T12:00:00Z,40
2024-11-24T16:00:00Z,39
2024-11-24T20:00:00Z,90
2024-11-25T00:00:00Z,102
2024-11-25T04:00:00Z,57
2024-11-25T08:00:00Z,59
2024-11-25T12:00:00Z,31
2024-11-25T16:00:00Z,56
2024-11-25T20:00:00Z,56
2024-11-26T00:00:00Z,56
2024-11-26T04:00:00Z,60
2024-11-26T08:00:00Z,61
2024-11-26T12:00:00Z,79
2024-11-26T16:00:00Z,45
2024-11-26T20:00:00Z,67
2024-11-27T00:00:00Z,54
2024-11-27T04:00:00Z,22
2024-11-27T08:00:00Z,70
2024-11-27T12:00:00Z,37
2024-11-27T16:00:00Z,53
2024-11-27T20:00:00Z,47
2024-11-28T00:00:00Z,41
2024-11-28T04:00:00Z,99
2024-11-28T08:00:00Z,23
2024-11-28T12:00:00Z,51
2024-11-28T16:00:00Z,5
2024-11-28T20:00:00Z,68
2024-11-29T00:00:00Z,44
2024-11-29T04:00:00Z,44
2024-11-29T08:00:00Z,81
2024-11-29T12:00:00Z,87
2024-11-29T16:00:00Z,44
2024-11-29T20:00:00Z,32
2024-11-30T00:00:00Z,58
2024-11-30T04:00:00Z,46
2024-11-30T08:00:00Z,52
2024-11-30T12:00:00Z,44
2024-11-30T16:00:00Z,42
2024-11-30T20:00:00Z,92
2024-12-01T00:00:00Z,67
2024-12-01T04:00:00Z,43
2024-12-01T08:00:00Z,76
2024-12-01T12:00:00Z,57
2024-12-01T16:00:00Z,77
2024-12-01T20:00:00Z,49
2024-12-02T00:00:00Z,22
2024-12-02T04:00:00Z,68
2024-12-02T08:00:00Z,59
2024-12-02T12:00:00Z,15
2024-12-02T16:00:00Z,60
2024-12-02T20:00:00Z,62
2024-12-03T00:00:00Z,66
2024-12-03T04:00:00Z,74
2024-12-03T08:00:00Z,84
2024-12-03T12:00:00Z,81
2024-12-03T16:00:00Z,70
2024-12-03T20:00:00Z,58
2024-12-04T00:00:00Z,95
2024-12-04T04:00:00Z,80
2024-12-04T08:00:00Z,40
2024-12-04T12:00:00Z,50
2024-12-04T16:00:00Z,75
2024-12-04T20:00:00Z,74
2024-12-05T00:00:00Z,85
2024-12-05T04:00:00Z,47
2024-12-05T08:00:00Z,63
2024-12-05T12:00:00Z,88
2024-12-05T16:00:00Z,94
2024-12-05T20:00:00Z,50
2024-12-06T00:00:00Z,83
2024-12-06T04:00:00Z,40
2024-12-06T08:00:00Z,47
2024-12-06T12:00:00Z,61
2024-12-06T16:00:00Z,58
2024-12-06T20:00:00Z,20
2024-12-07T00:00:00Z,62
2024-12-07T04:00:00Z,57
2024-12-07T08:00:00Z,59
2024-12-07T12:00:00Z,72
2024-12-07T16:00:00Z,79
2024-12-07T20:00:00Z,58
2024-12-08T00:00:00Z,82
2024-12-08T04:00:00Z,66
2024-12-08T08:00:00Z,35
2024-12-08T12:00:00Z,59
2024-12-08T16:00:00Z,50
2024-12-08T20:00:00Z,36
2024-12-09T00:00:00Z,72
2024-12-09T04:00:00Z,56
2024-12-09T08:00:00Z,94
2024-12-09T12:00:00Z,76
2024-12-09T16:00:00Z,71
2024-12-09T20:00:00Z,60
2024-12-10T00:00:00Z,56
2024-12-10T04:00:00Z,50
2024-12-10T08:00:00Z,59
2024-12-10T12:00:00Z,64
2024-12-10T16:00:00Z,74
2024-12-10T20:00:00Z,64
2024-12-11T00:00:00Z,44
2024-12-11T04:00:00Z,39
2024-12-11T08:00:00Z,31
2024-12-11T12:00:00Z,41
2024-12-11T16:00:00Z,24
